feature,importance
guardian_father,0.1585044692484744
guardian_other,0.07029500866023905
school,0.05798858580080253
age,0.052471263429612384
Mjob_at_home,0.041070049633605075
address,0.038748133152198945
Mjob_teacher,0.031829001343399374
sex,0.0289364332157843
guardian_mother,0.02493787928944364
failures,0.02135590000684263
Mjob_health,0.020645310579570447
absences,0.019413386402369427
internet,0.016850655721006122
higher,0.016806148968667344
schoolsup,0.01567403293611059
Mjob_services,0.015305681354389724
Fjob_at_home,0.015063371869435935
studytime,0.01145230140353624
traveltime,0.005770434332804168
health,0.002357898962595133
Mjob_other,0.0014599481195737654
romantic,0.001216388983070486
famrel,0.0011718822307317666
Fjob_health,0.0
Fjob_other,0.0
Fjob_services,0.0
Fjob_teacher,0.0
reason_course,0.0
reason_home,0.0
reason_other,0.0
reason_reputation,0.0
Walc,0.0
famsize,0.0
Dalc,0.0
freetime,0.0
nursery,0.0
activities,0.0
paid,0.0
famsup,0.0
Fedu,0.0
Medu,0.0
Pstatus,0.0
goout,0.0
