feature,importance
guardian_father,0.021557845051451446
school,0.01951464222103876
address,0.016490526929031395
Pstatus,0.013385640848200502
famsup,0.011521733585338558
reason_other,0.011459584443402131
Medu,0.010526647605171453
Mjob_at_home,0.009917106735264667
reason_home,0.009672302722386776
Fjob_at_home,0.00946624300953612
nursery,0.008473517566268969
failures,0.00791577256182882
famrel,0.006337314145451507
age,0.006083470027565714
reason_course,0.005841230980241815
Mjob_other,0.005594151319818953
activities,0.005577702865484035
Fjob_other,0.004927306727125268
studytime,0.0048706344387830555
paid,0.004659732431220992
health,0.004626447272121536
schoolsup,0.003989574056922158
sex,0.0035921415477468284
reason_reputation,0.0034805698872053415
Mjob_services,0.0034207303528660375
internet,0.0033707541557869234
Mjob_teacher,0.0033211389538142953
romantic,0.0029558102256424072
Fedu,0.0027433243309543305
absences,0.00258942179062593
guardian_other,0.0025034326562318227
Mjob_health,0.0023679066610284576
traveltime,0.002104413109653701
Fjob_teacher,0.0018906982513689212
Dalc,0.0018883901000531205
goout,0.0018295051174774942
famsize,0.0012050232468286386
Fjob_health,0.0011284053428436834
higher,0.0008047481876566887
freetime,0.0006922365571518256
Fjob_services,0.0006619729937512038
guardian_mother,0.0005013840387069041
Walc,0.0
