feature,importance
school,0.11761965333828141
address,0.1005260090823087
traveltime,0.07557570812281306
Dalc,0.06699079117529293
schoolsup,0.05607361202551075
goout,0.04200177075392115
sex,0.025046280029792967
age,0.011099633025711254
study_efficiency,0.009492701401476993
studytime,0.003280107412674207
failures,0.0024578403652199712
freetime,0.0014797187041420837
Walc,0.0010363141919076191
home_advantage,0.00034184029782155506
parent_education_max,0.0
age_group,0.0
risk_composite,0.0
parent_education_avg,0.0
parent_education_diff,0.0
study_social_ratio,0.0
academic_support,0.0
alcohol_ratio,0.0
high_alcohol,0.0
social_time,0.0
motivation_score,0.0
absences,0.0
family_stability,0.0
alcohol_total,0.0
famrel,0.0
health,0.0
reason,0.0
famsize,0.0
Pstatus,0.0
Medu,0.0
Fedu,0.0
Mjob,0.0
Fjob,0.0
guardian,0.0
romantic,0.0
famsup,0.0
paid,0.0
activities,0.0
nursery,0.0
higher,0.0
internet,0.0
absence_level,0.0
