feature,importance
school,0.165132078386662
address,0.1144160895630071
Dalc,0.09362796580996752
traveltime,0.09050773677679023
goout,0.07582219640182246
schoolsup,0.06676809289019285
age_group,0.04610306956634717
studytime,0.04289623484023799
parent_education_max,0.04019324353956134
reason,0.03771689718051161
Walc,0.036315731015086374
home_advantage,0.03585948663231035
freetime,0.03176887786221937
high_alcohol,0.019825700728338003
parent_education_diff,0.018926758353422782
failures,0.017451161234374114
risk_composite,0.016138242621553115
sex,0.014625585494262884
absences,0.012741237993107321
social_time,0.007911824937956707
study_efficiency,0.0065533908591413345
motivation_score,0.006141293851974999
alcohol_total,0.0040031782926737815
Fjob,0.0035946103859202283
Mjob,0.002709167999292493
Medu,0.0011753907835579218
academic_support,0.0011685899589831156
romantic,0.0011336001919461062
activities,0.0011301642815631581
higher,0.0006755005791650953
famsize,0.0006723131189358823
Pstatus,0.0006116074477754477
Fedu,0.0004243671968568888
famsup,0.0003170397337706282
family_stability,0.0
study_social_ratio,0.0
famrel,0.0
alcohol_ratio,0.0
parent_education_avg,0.0
health,0.0
internet,0.0
nursery,0.0
paid,0.0
guardian,0.0
age,0.0
absence_level,0.0
